project_id,event_type,previous_status,new_status,event_timestamp,performed_by,event_description,metadata_json
MPLADS-2024-0005,Sanctioned,Recommended,Sanctioned,2024-07-20 14:30:00+05:30,District Authority / Collector,"Administrative and financial sanction accorded for Rs. 4,200,000.00.","{""sanction_order"": ""DRDA/2024/SANC/005"", ""amount"": 4200000.0}"
MPLADS-2024-0005,Work Order Issued,Sanctioned,Work Order Issued,2024-08-10 11:15:00+05:30,Executive Engineer (DRDA),Tender finalized and work order issued to executing agency.,"{""work_order_no"": ""WO/0005"", ""stipulated_time_months"": 6}"
MPLADS-2024-0006,Created,,Recommended,2024-06-18 10:00:00+05:30,Hon MP (Paschim Champaran),Work recommended by MP for Installation of 50 Solar High Mast LED Lights under financial year 2024-25.,"{""source"": ""e-SAKSHI MP Portal"", ""rec_amount"": 1800000.0}"
MPLADS-2024-0006,Sanctioned,Recommended,Sanctioned,2024-07-05 14:30:00+05:30,District Authority / Collector,"Administrative and financial sanction accorded for Rs. 1,800,000.00.","{""sanction_order"": ""DRDA/2024/SANC/006"", ""amount"": 1800000.0}"
MPLADS-2024-0006,Work Order Issued,Sanctioned,Work Order Issued,2024-07-22 11:15:00+05:30,Executive Engineer (DRDA),Tender finalized and work order issued to executing agency.,"{""work_order_no"": ""WO/0006"", ""stipulated_time_months"": 6}"
MPLADS-2024-0006,Completed,In Progress,Completed,2024-09-25 16:00:00+05:30,District Executive Engineer,Final completion certificate and asset geo-tagging submitted.,"{""completion_cert_no"": ""CC/2024/006"", ""final_expenditure"": 1750000.0}"
MPLADS-2024-0007,Created,,Recommended,2024-07-15 10:00:00+05:30,Hon MP (Karnal),Work recommended by MP for Digital Smart Classrooms in 5 Rural Schools under financial year 2024-25.,"{""source"": ""e-SAKSHI MP Portal"", ""rec_amount"": 2000000.0}"
MPLADS-2024-0007,Sanctioned,Recommended,Sanctioned,2024-08-25 14:30:00+05:30,District Authority / Collector,"Administrative and financial sanction accorded for Rs. 2,000,000.00.","{""sanction_order"": ""DRDA/2024/SANC/007"", ""amount"": 2000000.0}"
MPLADS-2024-0007,Work Order Issued,Sanctioned,Work Order Issued,2024-09-20 11:15:00+05:30,Executive Engineer (DRDA),Tender finalized and work order issued to executing agency.,"{""work_order_no"": ""WO/0007"", ""stipulated_time_months"": 6}"
MPLADS-2024-0008,Created,,Recommended,2024-06-12 10:00:00+05:30,Hon MP (Valmiki Nagar),Work recommended by MP for Deep Borewell with Solar Submersible Pump under financial year 2024-25.,"{""source"": ""e-SAKSHI MP Portal"", ""rec_amount"": 800000.0}"
MPLADS-2024-0008,Sanctioned,Recommended,Sanctioned,2024-06-30 14:30:00+05:30,District Authority / Collector,"Administrative and financial sanction accorded for Rs. 800,000.00.","{""sanction_order"": ""DRDA/2024/SANC/008"", ""amount"": 800000.0}"
MPLADS-2024-0008,Work Order Issued,Sanctioned,Work Order Issued,2024-07-10 11:15:00+05:30,Executive Engineer (DRDA),Tender finalized and work order issued to executing agency.,"{""work_order_no"": ""WO/0008"", ""stipulated_time_months"": 6}"
MPLADS-2024-0008,Completed,In Progress,Completed,2024-08-28 16:00:00+05:30,District Executive Engineer,Final completion certificate and asset geo-tagging submitted.,"{""completion_cert_no"": ""CC/2024/008"", ""final_expenditure"": 780000.0}"
MPLADS-2024-0009,Created,,Recommended,2024-06-25 10:00:00+05:30,Hon MP (Durg),Work recommended by MP for Advanced Life Support (ALS) Ambulance Provision under financial year 2024-25.,"{""source"": ""e-SAKSHI MP Portal"", ""rec_amount"": 4000000.0}"
MPLADS-2024-0009,Sanctioned,Recommended,Sanctioned,2024-07-12 14:30:00+05:30,District Authority / Collector,"Administrative and financial sanction accorded for Rs. 4,000,000.00.","{""sanction_order"": ""DRDA/2024/SANC/009"", ""amount"": 4000000.0}"
MPLADS-2024-0009,Work Order Issued,Sanctioned,Work Order Issued,2024-07-28 11:15:00+05:30,Executive Engineer (DRDA),Tender finalized and work order issued to executing agency.,"{""work_order_no"": ""WO/0009"", ""stipulated_time_months"": 6}"
MPLADS-2024-0009,Completed,In Progress,Completed,2024-09-12 16:00:00+05:30,District Executive Engineer,Final completion certificate and asset geo-tagging submitted.,"{""completion_cert_no"": ""CC/2024/009"", ""final_expenditure"": 3950000.0}"
MPLADS-2024-0010,Created,,Recommended,2024-07-08 10:00:00+05:30,Hon MP (Chalakudy),Work recommended by MP for Solid Waste Segregation Shed & Equipment under financial year 2024-25.,"{""source"": ""e-SAKSHI MP Portal"", ""rec_amount"": 2200000.0}"
MPLADS-2024-0010,Sanctioned,Recommended,Sanctioned,2024-08-18 14:30:00+05:30,District Authority / Collector,"Administrative and financial sanction accorded for Rs. 2,000,000.00.","{""sanction_order"": ""DRDA/2024/SANC/010"", ""amount"": 2000000.0}"
MPLADS-2024-0010,Work Order Issued,Sanctioned,Work Order Issued,2024-09-10 11:15:00+05:30,Executive Engineer (DRDA),Tender finalized and work order issued to executing agency.,"{""work_order_no"": ""WO/0010"", ""stipulated_time_months"": 6}"
MPLADS-2024-0011,Created,,Recommended,2024-06-08 10:00:00+05:30,Hon MP (Bapatla),Work recommended by MP for Inter-village All-Weather Bituminous Road under financial year 2024-25.,"{""source"": ""e-SAKSHI MP Portal"", ""rec_amount"": 5000000.0}"
MPLADS-2024-0011,Sanctioned,Recommended,Sanctioned,2024-07-15 14:30:00+05:30,District Authority / Collector,"Administrative and financial sanction accorded for Rs. 4,800,000.00.","{""sanction_order"": ""DRDA/2024/SANC/011"", ""amount"": 4800000.0}"
MPLADS-2024-0011,Work Order Issued,Sanctioned,Work Order Issued,2024-08-01 11:15:00+05:30,Executive Engineer (DRDA),Tender finalized and work order issued to executing agency.,"{""work_order_no"": ""WO/0011"", ""stipulated_time_months"": 6}"
MPLADS-2024-0012,Created,,Recommended,2024-07-12 10:00:00+05:30,Hon MP (Gorakhpur),Work recommended by MP for Multipurpose Community Hall for Village Panchayat under financial year 2024-25.,"{""source"": ""e-SAKSHI MP Portal"", ""rec_amount"": 3000000.0}"
MPLADS-2024-0012,Sanctioned,Recommended,Sanctioned,2024-08-20 14:30:00+05:30,District Authority / Collector,"Administrative and financial sanction accorded for Rs. 3,000,000.00.","{""sanction_order"": ""DRDA/2024/SANC/012"", ""amount"": 3000000.0}"
MPLADS-2024-0012,Work Order Issued,Sanctioned,Work Order Issued,2024-09-15 11:15:00+05:30,Executive Engineer (DRDA),Tender finalized and work order issued to executing agency.,"{""work_order_no"": ""WO/0012"", ""stipulated_time_months"": 6}"
MPLADS-2024-0013,Created,,Recommended,2024-07-20 10:00:00+05:30,Hon MP (Joynagar),Work recommended by MP for Piped Water Supply Pipeline Extension to SC Habitation under financial year 2024-25.,"{""source"": ""e-SAKSHI MP Portal"", ""rec_amount"": 1800000.0}"
MPLADS-2024-0013,Sanctioned,Recommended,Sanctioned,2024-08-30 14:30:00+05:30,District Authority / Collector,"Administrative and financial sanction accorded for Rs. 1,800,000.00.","{""sanction_order"": ""DRDA/2024/SANC/013"", ""amount"": 1800000.0}"
MPLADS-2024-0013,Work Order Issued,Sanctioned,Work Order Issued,2024-09-25 11:15:00+05:30,Executive Engineer (DRDA),Tender finalized and work order issued to executing agency.,"{""work_order_no"": ""WO/0013"", ""stipulated_time_months"": 6}"
MPLADS-2024-0014,Created,,Recommended,2024-06-14 10:00:00+05:30,Hon MP (Darbhanga),Work recommended by MP for Construction of Science Laboratory & Library Block under financial year 2024-25.,"{""source"": ""e-SAKSHI MP Portal"", ""rec_amount"": 2800000.0}"
MPLADS-2024-0014,Sanctioned,Recommended,Sanctioned,2024-07-02 14:30:00+05:30,District Authority / Collector,"Administrative and financial sanction accorded for Rs. 2,800,000.00.","{""sanction_order"": ""DRDA/2024/SANC/014"", ""amount"": 2800000.0}"
MPLADS-2024-0014,Work Order Issued,Sanctioned,Work Order Issued,2024-07-18 11:15:00+05:30,Executive Engineer (DRDA),Tender finalized and work order issued to executing agency.,"{""work_order_no"": ""WO/0014"", ""stipulated_time_months"": 6}"
MPLADS-2024-0014,Completed,In Progress,Completed,2024-11-10 16:00:00+05:30,District Executive Engineer,Final completion certificate and asset geo-tagging submitted.,"{""completion_cert_no"": ""CC/2024/014"", ""final_expenditure"": 2750000.0}"
MPLADS-2024-0015,Created,,Recommended,2024-07-25 10:00:00+05:30,Hon MP (Tumkur),Work recommended by MP for Rejuvenation of Traditional Village Water Pond under financial year 2024-25.,"{""source"": ""e-SAKSHI MP Portal"", ""rec_amount"": 1600000.0}"
MPLADS-2024-0015,Sanctioned,Recommended,Sanctioned,2024-09-05 14:30:00+05:30,District Authority / Collector,"Administrative and financial sanction accorded for Rs. 1,600,000.00.","{""sanction_order"": ""DRDA/2024/SANC/015"", ""amount"": 1600000.0}"
MPLADS-2024-0015,Work Order Issued,Sanctioned,Work Order Issued,2024-09-28 11:15:00+05:30,Executive Engineer (DRDA),Tender finalized and work order issued to executing agency.,"{""work_order_no"": ""WO/0015"", ""stipulated_time_months"": 6}"
MPLADS-2024-0016,Created,,Recommended,2024-06-22 10:00:00+05:30,Hon MP (Dumka),Work recommended by MP for Dialysis Unit Infrastructure at Sub-District Hospital under financial year 2024-25.,"{""source"": ""e-SAKSHI MP Portal"", ""rec_amount"": 4500000.0}"
MPLADS-2024-0016,Sanctioned,Recommended,Sanctioned,2024-08-05 14:30:00+05:30,District Authority / Collector,"Administrative and financial sanction accorded for Rs. 4,500,000.00.","{""sanction_order"": ""DRDA/2024/SANC/016"", ""amount"": 4500000.0}"
MPLADS-2024-0016,Work Order Issued,Sanctioned,Work Order Issued,2024-08-28 11:15:00+05:30,Executive Engineer (DRDA),Tender finalized and work order issued to executing agency.,"{""work_order_no"": ""WO/0016"", ""stipulated_time_months"": 6}"
MPLADS-2024-0017,Created,,Recommended,2024-06-16 10:00:00+05:30,Hon MP (Rae Bareli),Work recommended by MP for Box Culvert over Seasonal Nallah under financial year 2024-25.,"{""source"": ""e-SAKSHI MP Portal"", ""rec_amount"": 1400000.0}"
MPLADS-2024-0017,Sanctioned,Recommended,Sanctioned,2024-07-08 14:30:00+05:30,District Authority / Collector,"Administrative and financial sanction accorded for Rs. 1,400,000.00.","{""sanction_order"": ""DRDA/2024/SANC/017"", ""amount"": 1400000.0}"
MPLADS-2024-0017,Work Order Issued,Sanctioned,Work Order Issued,2024-07-20 11:15:00+05:30,Executive Engineer (DRDA),Tender finalized and work order issued to executing agency.,"{""work_order_no"": ""WO/0017"", ""stipulated_time_months"": 6}"
MPLADS-2024-0017,Completed,In Progress,Completed,2024-10-25 16:00:00+05:30,District Executive Engineer,Final completion certificate and asset geo-tagging submitted.,"{""completion_cert_no"": ""CC/2024/017"", ""final_expenditure"": 1380000.0}"
MPLADS-2024-0018,Created,,Recommended,2024-06-02 10:00:00+05:30,Hon MP (Purnea),Work recommended by MP for Underground Drainage System in Gram Panchayat under financial year 2024-25.,"{""source"": ""e-SAKSHI MP Portal"", ""rec_amount"": 4000000.0}"
MPLADS-2024-0018,Sanctioned,Recommended,Sanctioned,2024-07-10 14:30:00+05:30,District Authority / Collector,"Administrative and financial sanction accorded for Rs. 3,800,000.00.","{""sanction_order"": ""DRDA/2024/SANC/018"", ""amount"": 3800000.0}"
MPLADS-2024-0018,Work Order Issued,Sanctioned,Work Order Issued,2024-07-30 11:15:00+05:30,Executive Engineer (DRDA),Tender finalized and work order issued to executing agency.,"{""work_order_no"": ""WO/0018"", ""stipulated_time_months"": 6}"
MPLADS-2024-0019,Created,,Recommended,2024-06-28 10:00:00+05:30,Hon MP (Robertsganj),Work recommended by MP for Construction of Open Air Gymnasium and Youth Centre under financial year 2024-25.,"{""source"": ""e-SAKSHI MP Portal"", ""rec_amount"": 1500000.0}"
MPLADS-2024-0019,Sanctioned,Recommended,Sanctioned,2024-07-16 14:30:00+05:30,District Authority / Collector,"Administrative and financial sanction accorded for Rs. 1,500,000.00.","{""sanction_order"": ""DRDA/2024/SANC/019"", ""amount"": 1500000.0}"
MPLADS-2024-0019,Work Order Issued,Sanctioned,Work Order Issued,2024-08-02 11:15:00+05:30,Executive Engineer (DRDA),Tender finalized and work order issued to executing agency.,"{""work_order_no"": ""WO/0019"", ""stipulated_time_months"": 6}"
MPLADS-2024-0019,Completed,In Progress,Completed,2024-10-18 16:00:00+05:30,District Executive Engineer,Final completion certificate and asset geo-tagging submitted.,"{""completion_cert_no"": ""CC/2024/019"", ""final_expenditure"": 1480000.0}"
MPLADS-2024-0020,Created,,Recommended,2024-07-10 10:00:00+05:30,Hon MP (Tamluk),"Work recommended by MP for Overhead Service Reservoir (50,000 Litres Capacity) under financial year 2024-25.","{""source"": ""e-SAKSHI MP Portal"", ""rec_amount"": 3200000.0}"
MPLADS-2024-0020,Sanctioned,Recommended,Sanctioned,2024-08-22 14:30:00+05:30,District Authority / Collector,"Administrative and financial sanction accorded for Rs. 3,000,000.00.","{""sanction_order"": ""DRDA/2024/SANC/020"", ""amount"": 3000000.0}"
MPLADS-2024-0020,Work Order Issued,Sanctioned,Work Order Issued,2024-09-12 11:15:00+05:30,Executive Engineer (DRDA),Tender finalized and work order issued to executing agency.,"{""work_order_no"": ""WO/0020"", ""stipulated_time_months"": 6}"
