project_id,project_code,project_title,project_description,sector,sub_sector,state_id,constituency_id,district_name,block_name,implementing_agency,mp_name,house_of_parliament,financial_year,current_status,recommendation_date,sanction_date,work_order_date,expected_completion_date,actual_completion_date
MPLADS-2024-0011,PRJ-02-008-011,Inter-village All-Weather Bituminous Road,Inter-village All-Weather Bituminous Road in Bapatla Parliamentary Constituency.,Roads & Bridges,Roads & Bridges,2,8,Bapatla District,Bapatla Block,District Rural Development Agency (DRDA),Hon MP of Bapatla,Lok Sabha,2024-25,In Progress,2024-06-08,2024-07-15,2024-08-01,2025-03-31,
MPLADS-2024-0012,PRJ-33-424-012,Multipurpose Community Hall for Village Panchayat,Multipurpose Community Hall for Village Panchayat in Gorakhpur Parliamentary Constituency.,Community Infrastructure,Community Infrastructure,33,424,Gorakhpur District,Gorakhpur Block,District Rural Development Agency (DRDA),Hon MP of Gorakhpur,Lok Sabha,2024-25,In Progress,2024-07-12,2024-08-20,2024-09-15,2025-05-31,
MPLADS-2024-0013,PRJ-34-526-013,Piped Water Supply Pipeline Extension to SC Habitation,Piped Water Supply Pipeline Extension to SC Habitation in Joynagar Parliamentary Constituency.,Drinking Water,Drinking Water,34,526,Joynagar District,Joynagar Block,District Rural Development Agency (DRDA),Hon MP of Joynagar,Lok Sabha,2024-25,In Progress,2024-07-20,2024-08-30,2024-09-25,2025-03-15,
MPLADS-2024-0014,PRJ-06-074-014,Construction of Science Laboratory & Library Block,Construction of Science Laboratory & Library Block in Darbhanga Parliamentary Constituency.,Education,Education,6,74,Darbhanga District,Darbhanga Block,District Rural Development Agency (DRDA),Hon MP of Darbhanga,Lok Sabha,2024-25,Completed,2024-06-14,2024-07-02,2024-07-18,2024-11-15,2024-11-10
MPLADS-2024-0015,PRJ-18-189-015,Rejuvenation of Traditional Village Water Pond,Rejuvenation of Traditional Village Water Pond in Tumkur Parliamentary Constituency.,Irrigation,Irrigation,18,189,Tumkur District,Tumkur Block,District Rural Development Agency (DRDA),Hon MP of Tumkur,Lok Sabha,2024-25,Work Order Issued,2024-07-25,2024-09-05,2024-09-28,2025-04-30,
MPLADS-2024-0016,PRJ-17-159-016,Dialysis Unit Infrastructure at Sub-District Hospital,Dialysis Unit Infrastructure at Sub-District Hospital in Dumka Parliamentary Constituency.,Health,Health,17,159,Dumka District,Dumka Block,District Rural Development Agency (DRDA),Hon MP of Dumka,Lok Sabha,2024-25,In Progress,2024-06-22,2024-08-05,2024-08-28,2025-02-28,
MPLADS-2024-0017,PRJ-33-490-017,Box Culvert over Seasonal Nallah,Box Culvert over Seasonal Nallah in Rae Bareli Parliamentary Constituency.,Roads & Bridges,Roads & Bridges,33,490,Rae Bareli District,Rae Bareli Block,District Rural Development Agency (DRDA),Hon MP of Rae Bareli,Lok Sabha,2024-25,Completed,2024-06-16,2024-07-08,2024-07-20,2024-10-30,2024-10-25
MPLADS-2024-0018,PRJ-06-057-018,Underground Drainage System in Gram Panchayat,Underground Drainage System in Gram Panchayat in Purnea Parliamentary Constituency.,Sanitation,Sanitation,6,57,Purnea District,Purnea Block,District Rural Development Agency (DRDA),Hon MP of Purnea,Lok Sabha,2024-25,Stalled,2024-06-02,2024-07-10,2024-07-30,2024-12-31,
MPLADS-2024-0019,PRJ-33-431-019,Construction of Open Air Gymnasium and Youth Centre,Construction of Open Air Gymnasium and Youth Centre in Robertsganj Parliamentary Constituency.,Community Infrastructure,Community Infrastructure,33,431,Robertsganj District,Robertsganj Block,District Rural Development Agency (DRDA),Hon MP of Robertsganj,Lok Sabha,2024-25,Completed,2024-06-28,2024-07-16,2024-08-02,2024-10-20,2024-10-18
MPLADS-2024-0020,PRJ-34-516-020,"Overhead Service Reservoir (50,000 Litres Capacity)","Overhead Service Reservoir (50,000 Litres Capacity) in Tamluk Parliamentary Constituency.",Drinking Water,Drinking Water,34,516,Tamluk District,Tamluk Block,District Rural Development Agency (DRDA),Hon MP of Tamluk,Lok Sabha,2024-25,In Progress,2024-07-10,2024-08-22,2024-09-12,2025-05-15,
