project_id,project_code,project_title,project_description,sector,sub_sector,state_id,constituency_id,district_name,block_name,implementing_agency,mp_name,house_of_parliament,financial_year,current_status,recommendation_date,sanction_date,work_order_date,expected_completion_date,actual_completion_date,currency,recommended_amount,sanctioned_amount,released_amount,expenditure_amount,utilization_rate_pct,cost_overrun_amount,cost_overrun_pct,last_disbursement_date,reported_date,physical_progress_pct,financial_progress_pct,current_stage,days_delayed,milestone_status,inspected_by,inspection_date,inspection_remarks,geo_latitude,geo_longitude,photo_evidence_url,delay_days,is_delayed,sanction_sla_delay_days,planned_duration_days,actual_duration_days,project_duration,project_duration_days,elapsed_duration_days,admin_sanction_duration_days,tendering_duration_days,total_planned_lifecycle_days,utilization_ratio_sanctioned,utilization_ratio_released,utilization_ratio,cost_deviation_sanction,cost_deviation_sanction_pct,cost_deviation_expenditure,cost_deviation_expenditure_pct,cost_deviation,has_cost_overrun,unreleased_allocation,planned_schedule_pct,progress_gap_schedule,progress_gap,progress_gap_fin_phy,is_schedule_lagging,is_disbursement_skewed,category_mean_cost,category_median_cost,category_std_cost,category_min_cost,category_max_cost,category_project_count,cost_per_category,cost_relative_to_category,cost_category_zscore
MPLADS-2024-0011,PRJ-02-008-011,Inter-village All-Weather Bituminous Road,Inter-village All-Weather Bituminous Road in Bapatla Parliamentary Constituency.,Roads & Bridges,Roads & Bridges,2,8,Bapatla District,Bapatla Block,District Rural Development Agency (DRDA),Hon MP of Bapatla,Lok Sabha,2024-25,In Progress,2024-06-08,2024-07-15,2024-08-01,2025-03-31,,INR,5000000.0,4800000.0,2400000.0,2100000.0,87.5,0.0,0.0,2024-08-01,2024-11-15,65.0,87.5,Structure,0,On Track,District Executive Engineer,2024-11-10,Site inspected. Physical execution at 65.0%. Milestone: On Track.,24.5937,82.9629,https://mplads.gov.in/photos/MPLADS-2024-0011_inspection.jpg,0,False,0,242,,106,106,106,37,17,296,0.4375,0.875,0.875,-200000.0,-4.0,-2700000.0,-56.25,-2700000.0,False,2400000.0,43.8,-21.2,-21.2,22.5,False,True,3466666.67,4200000.0,1814754.35,1400000.0,4800000.0,3,3466666.67,1.3846,0.7347
MPLADS-2024-0012,PRJ-33-424-012,Multipurpose Community Hall for Village Panchayat,Multipurpose Community Hall for Village Panchayat in Gorakhpur Parliamentary Constituency.,Community Infrastructure,Community Infrastructure,33,424,Gorakhpur District,Gorakhpur Block,District Rural Development Agency (DRDA),Hon MP of Gorakhpur,Lok Sabha,2024-25,In Progress,2024-07-12,2024-08-20,2024-09-15,2025-05-31,,INR,3000000.0,3000000.0,1500000.0,800000.0,53.33,0.0,0.0,2024-09-15,2024-11-15,65.0,53.33,Structure,0,On Track,District Executive Engineer,2024-11-10,Site inspected. Physical execution at 65.0%. Milestone: On Track.,24.9937,83.3629,https://mplads.gov.in/photos/MPLADS-2024-0012_inspection.jpg,0,False,0,258,,61,61,61,39,26,323,0.2667,0.5333,0.5333,0.0,0.0,-2200000.0,-73.33,-2200000.0,False,1500000.0,23.64,-41.36,-41.36,-11.67,False,False,2250000.0,2250000.0,1060660.17,1500000.0,3000000.0,2,2250000.0,1.3333,0.7071
MPLADS-2024-0013,PRJ-34-526-013,Piped Water Supply Pipeline Extension to SC Habitation,Piped Water Supply Pipeline Extension to SC Habitation in Joynagar Parliamentary Constituency.,Drinking Water,Drinking Water,34,526,Joynagar District,Joynagar Block,District Rural Development Agency (DRDA),Hon MP of Joynagar,Lok Sabha,2024-25,In Progress,2024-07-20,2024-08-30,2024-09-25,2025-03-15,,INR,1800000.0,1800000.0,900000.0,300000.0,33.33,0.0,0.0,2024-09-25,2024-11-15,65.0,33.33,Structure,0,On Track,District Executive Engineer,2024-11-10,Site inspected. Physical execution at 65.0%. Milestone: On Track.,25.3937,83.7629,https://mplads.gov.in/photos/MPLADS-2024-0013_inspection.jpg,0,False,0,171,,51,51,51,41,26,238,0.1667,0.3333,0.3333,0.0,0.0,-1500000.0,-83.33,-1500000.0,False,900000.0,29.82,-35.18,-35.18,-31.67,False,False,1775000.0,1650000.0,917877.99,800000.0,3000000.0,4,1775000.0,1.0141,0.0272
MPLADS-2024-0014,PRJ-06-074-014,Construction of Science Laboratory & Library Block,Construction of Science Laboratory & Library Block in Darbhanga Parliamentary Constituency.,Education,Education,6,74,Darbhanga District,Darbhanga Block,District Rural Development Agency (DRDA),Hon MP of Darbhanga,Lok Sabha,2024-25,Completed,2024-06-14,2024-07-02,2024-07-18,2024-11-15,2024-11-10,INR,2800000.0,2800000.0,2800000.0,2750000.0,98.21,0.0,0.0,2024-07-18,2024-11-15,100.0,98.21,Completed,0,Completed,District Executive Engineer,2024-11-10,Site inspected. Physical execution at 100.0%. Milestone: Completed.,25.7937,84.1629,https://mplads.gov.in/photos/MPLADS-2024-0014_inspection.jpg,-5,False,0,120,115.0,115,115,120,18,16,154,0.9821,0.9821,0.9821,0.0,0.0,-50000.0,-1.79,-50000.0,False,0.0,100.0,0.0,0.0,-1.79,False,False,2433333.33,2500000.0,404145.19,2000000.0,2800000.0,3,2433333.33,1.1507,0.9073
MPLADS-2024-0015,PRJ-18-189-015,Rejuvenation of Traditional Village Water Pond,Rejuvenation of Traditional Village Water Pond in Tumkur Parliamentary Constituency.,Irrigation,Irrigation,18,189,Tumkur District,Tumkur Block,District Rural Development Agency (DRDA),Hon MP of Tumkur,Lok Sabha,2024-25,Work Order Issued,2024-07-25,2024-09-05,2024-09-28,2025-04-30,,INR,1600000.0,1600000.0,800000.0,100000.0,12.5,0.0,0.0,2024-09-28,2024-11-15,10.0,12.5,Contract Awarded,0,On Track,District Executive Engineer,2024-11-10,Site inspected. Physical execution at 10.0%. Milestone: On Track.,26.1937,84.5629,https://mplads.gov.in/photos/MPLADS-2024-0015_inspection.jpg,0,False,0,214,,48,48,48,42,23,279,0.0625,0.125,0.125,0.0,0.0,-1500000.0,-93.75,-1500000.0,False,800000.0,22.43,12.43,12.43,2.5,True,False,1600000.0,1600000.0,0.0,1600000.0,1600000.0,1,1600000.0,1.0,0.0
MPLADS-2024-0016,PRJ-17-159-016,Dialysis Unit Infrastructure at Sub-District Hospital,Dialysis Unit Infrastructure at Sub-District Hospital in Dumka Parliamentary Constituency.,Health,Health,17,159,Dumka District,Dumka Block,District Rural Development Agency (DRDA),Hon MP of Dumka,Lok Sabha,2024-25,In Progress,2024-06-22,2024-08-05,2024-08-28,2025-02-28,,INR,4500000.0,4500000.0,2250000.0,1500000.0,66.67,0.0,0.0,2024-08-28,2024-11-15,65.0,66.67,Structure,0,On Track,District Executive Engineer,2024-11-10,Site inspected. Physical execution at 65.0%. Milestone: On Track.,26.5937,84.9629,https://mplads.gov.in/photos/MPLADS-2024-0016_inspection.jpg,0,False,0,184,,79,79,79,44,23,251,0.3333,0.6667,0.6667,0.0,0.0,-3000000.0,-66.67,-3000000.0,False,2250000.0,42.93,-22.07,-22.07,1.67,False,False,3900000.0,4000000.0,655743.85,3200000.0,4500000.0,3,3900000.0,1.1538,0.915
MPLADS-2024-0017,PRJ-33-490-017,Box Culvert over Seasonal Nallah,Box Culvert over Seasonal Nallah in Rae Bareli Parliamentary Constituency.,Roads & Bridges,Roads & Bridges,33,490,Rae Bareli District,Rae Bareli Block,District Rural Development Agency (DRDA),Hon MP of Rae Bareli,Lok Sabha,2024-25,Completed,2024-06-16,2024-07-08,2024-07-20,2024-10-30,2024-10-25,INR,1400000.0,1400000.0,1400000.0,1380000.0,98.57,0.0,0.0,2024-07-20,2024-11-15,100.0,98.57,Completed,0,Completed,District Executive Engineer,2024-11-10,Site inspected. Physical execution at 100.0%. Milestone: Completed.,26.9937,85.3629,https://mplads.gov.in/photos/MPLADS-2024-0017_inspection.jpg,-5,False,0,102,97.0,97,97,118,22,12,136,0.9857,0.9857,0.9857,0.0,0.0,-20000.0,-1.43,-20000.0,False,0.0,100.0,0.0,0.0,-1.43,False,False,3466666.67,4200000.0,1814754.35,1400000.0,4800000.0,3,3466666.67,0.4038,-1.1388
MPLADS-2024-0018,PRJ-06-057-018,Underground Drainage System in Gram Panchayat,Underground Drainage System in Gram Panchayat in Purnea Parliamentary Constituency.,Sanitation,Sanitation,6,57,Purnea District,Purnea Block,District Rural Development Agency (DRDA),Hon MP of Purnea,Lok Sabha,2024-25,Stalled,2024-06-02,2024-07-10,2024-07-30,2024-12-31,,INR,4000000.0,3800000.0,1900000.0,900000.0,47.37,50000.0,1.32,2024-07-30,2024-11-15,35.0,47.37,Foundation,95,Critical,District Executive Engineer,2024-11-10,Site inspected. Physical execution at 35.0%. Milestone: Critical.,27.3937,85.7629,https://mplads.gov.in/photos/MPLADS-2024-0018_inspection.jpg,95,True,0,154,,108,108,108,38,20,212,0.2368,0.4737,0.4737,-200000.0,-5.0,-2900000.0,-76.32,-2900000.0,False,1900000.0,70.13,35.13,35.13,12.37,True,False,2333333.33,2000000.0,1331665.62,1200000.0,3800000.0,3,2333333.33,1.6286,1.1014
MPLADS-2024-0019,PRJ-33-431-019,Construction of Open Air Gymnasium and Youth Centre,Construction of Open Air Gymnasium and Youth Centre in Robertsganj Parliamentary Constituency.,Community Infrastructure,Community Infrastructure,33,431,Robertsganj District,Robertsganj Block,District Rural Development Agency (DRDA),Hon MP of Robertsganj,Lok Sabha,2024-25,Completed,2024-06-28,2024-07-16,2024-08-02,2024-10-20,2024-10-18,INR,1500000.0,1500000.0,1500000.0,1480000.0,98.67,0.0,0.0,2024-08-02,2024-11-15,100.0,98.67,Completed,0,Completed,District Executive Engineer,2024-11-10,Site inspected. Physical execution at 100.0%. Milestone: Completed.,27.7937,86.1629,https://mplads.gov.in/photos/MPLADS-2024-0019_inspection.jpg,-2,False,0,79,77.0,77,77,105,18,17,114,0.9867,0.9867,0.9867,0.0,0.0,-20000.0,-1.33,-20000.0,False,0.0,100.0,0.0,0.0,-1.33,False,False,2250000.0,2250000.0,1060660.17,1500000.0,3000000.0,2,2250000.0,0.6667,-0.7071
MPLADS-2024-0020,PRJ-34-516-020,"Overhead Service Reservoir (50,000 Litres Capacity)","Overhead Service Reservoir (50,000 Litres Capacity) in Tamluk Parliamentary Constituency.",Drinking Water,Drinking Water,34,516,Tamluk District,Tamluk Block,District Rural Development Agency (DRDA),Hon MP of Tamluk,Lok Sabha,2024-25,In Progress,2024-07-10,2024-08-22,2024-09-12,2025-05-15,,INR,3200000.0,3000000.0,1500000.0,500000.0,33.33,0.0,0.0,2024-09-12,2024-11-15,65.0,33.33,Structure,0,On Track,District Executive Engineer,2024-11-10,Site inspected. Physical execution at 65.0%. Milestone: On Track.,28.1937,86.5629,https://mplads.gov.in/photos/MPLADS-2024-0020_inspection.jpg,0,False,0,245,,64,64,64,43,21,309,0.1667,0.3333,0.3333,-200000.0,-6.25,-2500000.0,-83.33,-2500000.0,False,1500000.0,26.12,-38.88,-38.88,-31.67,False,False,1775000.0,1650000.0,917877.99,800000.0,3000000.0,4,1775000.0,1.6901,1.3346
